song-title,song-artist,song-lyrics
Upside Down,Nomo,"whos to say
whats impossible well they forgot
this world keeps spinning and with each new day
i can feel a change in everything
and as the surface breaks reflections fade
but in some ways they remain the same
and as my mind begins to spread its wings
theres no stopping curiosity
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
i dont want this feeling to go away
whos to say
i cant do everything well i can try
and as i roll along i begin to find
things arent always just what they seem
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
this world keeps spinning
e
and theres no time to waste
well it all keeps spinning spinning round and round
and upside down
whos to say whats impossible and cant be found
i dont want this feeling to go away
please dont go away
please dont go away
please dont go away
is this how its supposed to be
is this how its supposed to bed
"
Upside Down,Nomo,"whos to say
whats impossible well they forgot
this world keeps spinning and with each new day
i can feel a change in everything
and as the surface breaks reflections fade
but in some ways they remain the same
and as my mind begins to spread its wings
theres no stopping curiosity
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
i dont want this feeling to go away
whos to say
i cant do everything well i can try
and as i roll along i begin to find
things arent always just what they seem
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
this world keeps spinning
e
and theres no time to waste
well it all keeps spinning spinning round and round
and upside down
whos to say whats impossible and cant be found
i dont want this feeling to go away
please dont go away
please dont go away
please dont go away
is this how its supposed to be
is this how its supposed to bed
"
Upside Down,Nomo,"whos to say
whats impossible well they forgot
this world keeps spinning and with each new day
i can feel a change in everything
and as the surface breaks reflections fade
but in some ways they remain the same
and as my mind begins to spread its wings
theres no stopping curiosity
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
i dont want this feeling to go away
whos to say
i cant do everything well i can try
and as i roll along i begin to find
things arent always just what they seem
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
this world keeps spinning
e
and theres no time to waste
well it all keeps spinning spinning round and round
and upside down
whos to say whats impossible and cant be found
i dont want this feeling to go away
please dont go away
please dont go away
please dont go away
is this how its supposed to be
is this how its supposed to bed
"
Upside Down,Nomo,"whos to say
whats impossible well they forgot
this world keeps spinning and with each new day
i can feel a change in everything
and as the surface breaks reflections fade
but in some ways they remain the same
and as my mind begins to spread its wings
theres no stopping curiosity
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
i dont want this feeling to go away
whos to say
i cant do everything well i can try
and as i roll along i begin to find
things arent always just what they seem
i wanna turn the whole thing upside down
ill find the things they say just cant be found
ill share this love i find with everyone
well sing and dance to mother natures songs
this world keeps spinning
e
and theres no time to waste
well it all keeps spinning spinning round and round
and upside down
whos to say whats impossible and cant be found
i dont want this feeling to go away
please dont go away
please dont go away
please dont go away
is this how its supposed to be
is this how its supposed to bed
"
Connaissais de Face (Tiger?),Khruangbin,"intro
i remember
we used to listen to that song
for days on end
instrumental
spoken word
have you heard about josephine
she was always running
i was always swimming
i would have loved to swim
but i had to work
it makes me think of that place
who do you remember
instrumental
spoken word
so are you a cat
a tiger is a
kind of cat
have you earned your stripes
yes
i like to go where i choose to goed
"
Connaissais de Face (Tiger?),Khruangbin,"intro
i remember
we used to listen to that song
for days on end
instrumental
spoken word
have you heard about josephine
she was always running
i was always swimming
i would have loved to swim
but i had to work
it makes me think of that place
who do you remember
instrumental
spoken word
so are you a cat
a tiger is a
kind of cat
have you earned your stripes
yes
i like to go where i choose to goed
"
Anemone,The Brian Jonestown Massacre,"down below
my thoughts can wander and i let go
i dont need much in my life i know
i like it better underwater
ive been drowning in anemone
here youll never get the best of me
ive been drowning in anemone
breathing deep
breathing deep
down below
sandy like the ocean floor quiet like i like it
here ill never be alone
i pause my life i spend my time
hes always right its never wrong to try
its been alright ive been alright
but here its better i hear better
i like it better underwater send me underwater
feeling little pulls
wont get the best of me so lalala lets go
a little destiny to tell you what you know
a fatal recipe of life
see slenderbodies liveget tickets as low as e
harmony
dreaming bout a place where i can be by myself
feeling little pulls
wont get the best of me so lalala lets go
a little destiny to tell you what you know
a fatal recipe of lifed
"
She Can't Love You - Radio Version,Chemise,"intro
hi yeah
saw you last night
mmhmm i was at the club yeah
saw who you were with too
huh
when i saw you last night
i could easily see
she was holdin you so tight
cause she knows you want me
oh no but
she cant love you
she cant love you like i do
she cant love you
she cant love you like i do
i said to myself
what must be on your mind
you were there with someone else
but you know youre wastin your time
oh no cause
e
she cant love you uhuh no no
she cant love you like i do you know it too
she cant love you
she cant lov you like i do
you aint foolin me no uhuh no no
whos foolin who uhuh no no
oh you aint foolin me no uhuh no no
tll me whos foolin who yo uhuh no no
youre listenin to my beat
and im needin your moves
lets give it one more try
lets get back in the groove
she cant love you ooh dove she cant
she cant love you like i do uhuh
she cant love you no no
she cant love you like i do oh
interlude
she you know that she cant do it uhuh no no
she cant love you whos foolin whos foolin uhuh no no
she oh uhuh no no
she cant love you ahaha you know it uhuh no no
she she cant love you uhuh no no
she cant love you uhuh no no
she cant love you
she cant love you like i do
interlude
mmm like i said
you know you miss me
and you know i miss you too baby
well you know i know i was wrong
but what can i say
what am i supposed to do
i stepped out on you first
right right
but im ready to make it up to you
and you know that
she cant love you she cant love you
she cant love you you know it too and i know it athat
she cant love you oh
she cant love you ooh
she cant love youd
"
First Love Never Die,Soko,"i feel like walking
do you feel like coming
i feel like talking because
its been a long time
now your hair is long
and you look so thin
youre always so pale
but something has changed
youre almost a man
 years and i still cry sometimes
first love never die
 years and i still cry sometimes
first love never die
postchorus
long time no see
long time wondering
what you were doing
who you were seeing
i wish i could go back to it
e
i feel like walking
do you feel like coming
i feel like crying because
its been a long time
 years and i still cry sometimes
first love never die
 years and i still cry sometimes
first love never die
can you feel the same
i will never love again
can you feel the same
i will never love again
can you feel the same
i will never love again
can you feel the same
i will never love again
can you feel the same
i will never love again
can you feel the same
i will never love againd
"
Fallen Fruit,Lorde,"to the ones who came before us
all the golden ones who were lifted on a wing
we had no idea the dreams we had were far too big
far too big
and we will walk together we will walk
psychedelic garlands in our hair
through the halls of splendor where the apple trees all grew
youll leave us dancing on the fallen fruit
the fallen fruit
the fallen fruit ooh
the fallen fruit
from the nissan to the phantom to the plane
well disappear in the cover of the rain
took the great minds and the vapers
and a pocketful of seed
its time for us to leave
and we will walk together we will walk
psychedelic garlands in our hair
but how can i love what i know i am gonna lose
dont make me choose
e
the fallen fruit
the fallen fruit
the fallen fruitd
"
Sour Times,Portishead,"to pretend no one can find
the fallacies of morning rose
forbidden fruit hidden eyes
courtesies that i despise in me
take a ride take a shot now
cause nobody loves me its true
not like you do
covered by the blind belief
that fantasies of sinful screens
bear the facts assume the dye
end the vows no need to lie enjoy
take a ride take a shot now
cause nobody loves me its true
not like you do
who am i what and why
cause all i have left
is my memories of yesterday
oh these sour times
e
cause nobody loves me its true
not like you do
after time the bitter taste
of innocence descent or race
scattered seeds buried lives
mysteries of our disguise revolve
circumstance will decide
cause nobody loves me its true
not like you do
instrumental
cause nobody loves me its true
not like you
nobody loves me its true
not like you dod
"
